Altium Designer Pick and Place Locations
E:\git_repo\USB_Oscope_STM32_H7232ZG\Altium\USB_Oscilloscope_Project\Project Outputs for Free Documents\Pick Place\Pick Place for USB_Oscilloscope.txt

========================================================================================================================
File Design Information:

Date:       02/09/26
Time:       21:35
Revision:   6d054cb0949233a85040d1abbc3744042ee04106
Variant:    No variations
Units used: mil

Designator Comment                Layer    Footprint                           Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                       
C4         VJ0805A100FXACW1BC     TopLayer C0805                               2455.118      1529.558      90       "Capacitance:10pF Tolerance:㊣1% Tolerance:㊣1% Voltage Rating:50V Temperature Coefficient:C0G"                                                                                                                                                                     
R28        0805W8F0000T5E_C17477  TopLayer R0805                               2905.512      740.501       270      "Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
C17        VJ0805A100FXACW1BC     TopLayer C0805                               2810.630      728.740       270      "Capacitance:10pF Tolerance:㊣1% Tolerance:㊣1% Voltage Rating:50V Temperature Coefficient:C0G"                                                                                                                                                                     
J1         2.54-2*10              TopLayer HDR-TH_20P-P2.54-V-M-R2-C10-S2.54   3394.488      477.952       180      "Pin Structure:2x10P Pitch:2.54mm Row Spacing:2.54mm Circluar Pins/Square Pins:Pin Header Mounting Type:Through Hole Number of Rows:2 Number of Pins:20P Current Rating:2.5A Length of Mating Pin:6mm Insulation Height:2.54mm Length of End Connection Pin:3mm"  
C18        0805CG6R0C500NT_C67560 TopLayer C0805                               3151.968      848.002       270      "Capacitance:16pF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:C0G"                                                                                                                                                                     
R52        0805W8F0000T5E_C17477  TopLayer R0805                               1209.448      1229.508      270      "Type:Thick Film Resistor Resistance:0次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣800ppm/⊥ Temperature Coefficient:㊣800ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"            
C31        0603CG620J500NT        TopLayer C0603                               2576.822      898.031       0        "Capacitance:62pF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:C0G"                                                                                                                                                                     
C30        CL10C101JB8NNNC        TopLayer C0603                               2579.143      978.346       0        "Capacitance:100pF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:C0G"                                                                                                                                                                    
C13        0603CG620J500NT        TopLayer C0603                               2584.614      1754.330      0        "Capacitance:62pF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:C0G"                                                                                                                                                                     
C3         CL10C101JB8NNNC        TopLayer C0603                               2585.048      1841.732      0        "Capacitance:100pF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:C0G"                                                                                                                                                                    
U9         MCP41010T-I/SN         TopLayer SOIC-SN8_M                          3522.047      1038.190      0        "Single/Dual Digital Potentiometer with SPI Interface, 8-Pin SOIC 150mil, Industrial Temperature, Tape and Reel"                                                                                                                                                  
U8         REF3016EAIDBZR         TopLayer SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR   1255.118      1424.854      270      ""                                                                                                                                                                                                                                                                
U6         PGA113AIDGSR           TopLayer VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL   2204.724      962.548       270      "Amplifier Type:PGA Number of Channels:2 Rail to Rail:Rail-to-Rail Input˙Rail-to-Rail Output Output Current:60mA Current - Supply:1.1mA Operating Temperature:-40⊥~+125⊥ Operating Temperature:-40⊥~+125⊥ Vos - Input Offset Voltage:100uV Input Offset Voltage"  
U5         TPH2504-TR             TopLayer TSOP65P640X120-14N                  2829.134      1006.299      0        "Operational Amplifier, 4 Func, 5000uV Offset-Max, CMOS, PDSO14"                                                                                                                                                                                                  
U4         AQY282SX               TopLayer SOP-4_L4.3-W4.4-P2.54-LS7.0-BL      911.024       926.378       0        "Contact Form:SPST-NO(1 Form A) Load Current:500mA Load Voltage:60V Load Voltage:60V Voltage - Forward(Vf):1.25V Forward Current(If):50mA RDS(on):850m次 Isolation Voltage(Vrms):1.5kV Turn-on time:900us Turn-off time:500us Input Type:AC,DC Operating Temperat" 
U3         AQY282SX               TopLayer SOP-4_L4.3-W4.4-P2.54-LS7.0-BL      921.260       1761.812      0        "Contact Form:SPST-NO(1 Form A) Load Current:500mA Load Voltage:60V Load Voltage:60V Voltage - Forward(Vf):1.25V Forward Current(If):50mA RDS(on):850m次 Isolation Voltage(Vrms):1.5kV Turn-on time:900us Turn-off time:500us Input Type:AC,DC Operating Temperat" 
U2         PGA113AIDGSR           TopLayer VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL   2216.142      1896.406      270      "Amplifier Type:PGA Number of Channels:2 Rail to Rail:Rail-to-Rail Input˙Rail-to-Rail Output Output Current:60mA Current - Supply:1.1mA Operating Temperature:-40⊥~+125⊥ Operating Temperature:-40⊥~+125⊥ Vos - Input Offset Voltage:100uV Input Offset Voltage"  
U1         TPH2504-TR             TopLayer TSOP65P640X120-14N                  2820.079      1776.772      0        "Operational Amplifier, 4 Func, 5000uV Offset-Max, CMOS, PDSO14"                                                                                                                                                                                                  
RELAY3     HFD4/5-SR              TopLayer RELAY-SMD_HFD4-5-SR                 3524.804      1840.944      90       "Coil Voltage:5V Contact Form:2 Form C: 2C (DPDT-CO) Number of Pins:8 Contact Rating:1A@30VDC˙300mA@125VAC Switching Voltage(Max):250V@AC˙220V@DC Contact Material:AgNi + Gold plated Coil Rated Power:140mW Coil Resistance:178次 Switching Current(Max):2A Oper" 
RELAY2     HFD4/5-SR              TopLayer RELAY-SMD_HFD4-5-SR                 1452.362      1922.440      90       "Coil Voltage:5V Contact Form:2 Form C: 2C (DPDT-CO) Number of Pins:8 Contact Rating:1A@30VDC˙300mA@125VAC Switching Voltage(Max):250V@AC˙220V@DC Contact Material:AgNi + Gold plated Coil Rated Power:140mW Coil Resistance:178次 Switching Current(Max):2A Oper" 
RELAY1     HFD4/5-SR              TopLayer RELAY-SMD_HFD4-5-SR                 1449.212      991.338       90       "Coil Voltage:5V Contact Form:2 Form C: 2C (DPDT-CO) Number of Pins:8 Contact Rating:1A@30VDC˙300mA@125VAC Switching Voltage(Max):250V@AC˙220V@DC Contact Material:AgNi + Gold plated Coil Rated Power:140mW Coil Resistance:178次 Switching Current(Max):2A Oper" 
R51        5.1K                   TopLayer FP-RT0805-MFG                       3700.000      846.064       0        "125mW Thin Film Resistor ㊣50ppm/⊥ ㊣1% 5.1k次 0805 Chip Resistor - Surface Mount ROHS"                                                                                                                                                                             
R50        RT0805BRD0710K1L       TopLayer R0805                               1915.354      810.681       90       "Type:Thick Film Resistor Resistance:100次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R49        0805W8F0000T5E_C17477  TopLayer R0805                               2651.574      1299.192      270      "Type:Thick Film Resistors Resistance:1k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"    
R48        FRC0805F3402TS         TopLayer R0805                               3152.756      1039.744      270      "Type:Thick Film Resistor Resistance:34k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R47        0805W8F0000T5E_C17477  TopLayer R0805                               2562.205      1300.738      270      "Type:Thick Film Resistors Resistance:1k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"    
R46        0805W8F0000T5E_C17477  TopLayer R0805                               3554.744      1291.732      0        "Type:Thick Film Resistors Resistance:1k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"    
R45        0805W8F0000T5E_C17477  TopLayer R0805                               3731.082      1296.064      0        "Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R44        0805W8F0000T5E_C17477  TopLayer R0805                               1341.339      182.657       90       "Type:Thick Film Resistors Resistance:1k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"    
R43        0805W8F0000T5E_C17477  TopLayer R0805                               1475.984      187.746       270      "Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R42        0805W8F0000T5E_C17477  TopLayer R0805                               1931.052      227.560       180      "Type:Thick Film Resistors Resistance:1k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts): Overload Voltage (Max): Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature Range:-55⊥~+155⊥ Operating Temperature Range:-55⊥~+155⊥"    
R41        0805W8F0000T5E_C17477  TopLayer R0805                               1768.505      190.108       270      "Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R40        0805W8F0000T5E_C17477  TopLayer R0805                               1874.804      1359.428      270      "Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"          
R39        0805W8F0000T5E_C17477  TopLayer R0805                               1740.532      1552.756      180      "Type:Thick Film Resistor Resistance:0次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣800ppm/⊥ Temperature Coefficient:㊣800ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"            
