Altium Designer Pick and Place Locations
E:\git_repo\USB_Oscope_STM32_H7232ZG\Altium\USB_Oscilloscope_Project\Project Outputs for USB_Oscilloscope\Pick Place\Pick Place for USB_Oscilloscope.csv

========================================================================================================================
File Design Information:

Date:       02/09/26
Time:       22:21
Revision:   6d054cb0949233a85040d1abbc3744042ee04106
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C4","VJ0805A100FXACW1BC","TopLayer","C0805","62.3600","38.8508","90","Capacitance:10pF Tolerance:㊣1% Tolerance:㊣1% Voltage Rating:50V Temperature Coefficient:C0G"
"R28","0805W8F0000T5E_C17477","TopLayer","R0805","73.8000","18.8087","270","Type:Thick Film Resistor Resistance:10k次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣100ppm/⊥ Temperature Coefficient:㊣100ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"C17","VJ0805A100FXACW1BC","TopLayer","C0805","71.3900","18.5100","270","Capacitance:10pF Tolerance:㊣1% Tolerance:㊣1% Voltage Rating:50V Temperature Coefficient:C0G"
"J1","2.54-2*10","TopLayer","HDR-TH_20P-P2.54-V-M-R2-C10-S2.54","86.2200","12.1400","180","Pin Structure:2x10P Pitch:2.54mm Row Spacing:2.54mm Circluar Pins/Square Pins:Pin Header Mounting Type:Through Hole Number of Rows:2 Number of Pins:20P Current Rating:2.5A Length of Mating Pin:6mm Insulation Height:2.54mm Length of End Connection Pin:3mm"
"C18","0805CG6R0C500NT_C67560","TopLayer","C0805","80.0600","21.5392","270","Capacitance:16pF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:C0G"
"R52","0805W8F0000T5E_C17477","TopLayer","R0805","30.7200","31.2295","270","Type:Thick Film Resistor Resistance:0次 Tolerance:㊣1% Tolerance:㊣1% Power(Watts):125mW Voltage-Supply(Max):150V Temperature Coefficient:㊣800ppm/⊥ Temperature Coefficient:㊣800ppm/⊥ Operating Temperature:-55⊥~+155⊥ Operating Temperature:-55⊥~+155⊥"
"C31","0603CG620J500NT","TopLayer","C0603","65.4513","22.8100","0","Capacitance:62pF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:C0G"
"C30","CL10C101JB8NNNC","TopLayer","C0603","65.5102","24.8500","0","Capacitance:100pF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:C0G"
"C13","0603CG620J500NT","TopLayer","C0603","65.6492","44.5600","0","Capacitance:62pF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:C0G"
"C3","CL10C101JB8NNNC","TopLayer","C0603","65.6602","46.7800","0","Capacitance:100pF Tolerance:㊣5% Tolerance:㊣5% Voltage Rating:50V Temperature Coefficient:C0G"
"U9","MCP41010T-I/SN","TopLayer","SOIC-SN8_M","89.4600","26.3700","0","Single/Dual Digital Potentiometer with SPI Interface, 8-Pin SOIC 150mil, Industrial Temperature, Tape and Reel"
"U8","REF3016EAIDBZR","TopLayer","SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR","31.8800","36.1913","270",""
